1;2;Kruskal_Statistic;Kruskal_pValue;MWU_Statistic;MWU_pValue;FDR
Math;ProbSolv;;;5875.0;0.0676283662488132;0.1352567324976264
Math;CrossFix;;;7991.0;0.516189397701474;0.57354377522386
Math;Read;;;7680.0;0.6587224732359529;0.6587224732359529
ProbSolv;CrossFix;;;8033.0;0.0136007106094293;0.03400177652357325
ProbSolv;Read;;;7907.0;0.1017799830938867;0.16963330515647784
CrossFix;Read;;;7242.0;0.2736111618445419;0.39087308834934553
ProgCompr;Math;;;35871.0;0.0009083065797837;0.0034829502081900002
ProgCompr;ProbSolv;;;27808.0;0.48660018053586;0.57354377522386
ProgCompr;CrossFix;;;37258.0;1.9530508202831256e-05;0.00019530508202831256
ProgCompr;Read;;;36883.0;0.001044885062457;0.0034829502081900002
;;28.80108178361297;8.579471353625968e-06;;;42.0
